Time,Column1,Time,integer,Apr 19 07:34:38 2022,,
7:34 AM,9.00,7:34 AM,7:34:00,Apr 19 07:54:20 2022,,7:34 AM
7:54 AM,-1.00,7:54 AM,7:54,Apr 19 09:02:30 2022,,7:54 AM
9:02 AM,7.00,9:02 AM,9:02,Apr 19 09:22:12 2022,,9:02 AM
9:22 AM,-3.00,9:22 AM,9:22,Apr 19 09:41:36 2022,,9:22 AM
9:41 AM,1.00,9:41 AM,9:41,Apr 19 10:07:00 2022,,9:41 AM
10:07 AM,-3.00,10:07 AM,10:07,Apr 19 11:34:07 2022,,10:07 AM
11:34 AM,9.00,11:34 AM,11:34,Apr 19 11:57:04 2022,,11:34 AM
11:57 AM,2.00,11:57 AM,11:57,Apr 19 12:17:19 2022,,11:57 AM
12:17 PM,7.00,12:17 PM,12:17,Apr 19 12:37:01 2022,,12:17 PM
12:37 PM,-3.00,12:37 PM,12:37,Apr 19 13:11:51 2022,,12:37 PM
1:11 PM,1.00,1:11 PM,13:11,Apr 19 13:36:30 2022,,1:11 PM
1:36 PM,-4.00,1:36 PM,13:36,Apr 20 15:39:12 2022,,1:36 PM
3:39 PM,-1.00,3:39 PM,15:39,Apr 20 16:09:00 2022,,3:39 PM
4:09 PM,-1.00,4:09 PM,16:09,Apr 21 07:33:11 2022,,4:09 PM
7:33 AM,8.00,7:33 AM,7:33,Apr 21 07:52:26 2022,,7:33 AM
7:52 AM,-3.00,7:52 AM,7:52,Apr 21 08:24:35 2022,,7:52 AM
8:24 AM,-1.00,8:24 AM,8:24,Apr 21 09:03:07 2022,,8:24 AM
9:03 AM,8.00,9:03 AM,9:03,Apr 21 09:21:52 2022,,9:03 AM
9:21 AM,-4.00,9:21 AM,9:21,Apr 21 10:06:40 2022,,9:21 AM
10:06 AM,-4.00,10:06 AM,10:06,Apr 21 10:27:25 2022,,10:06 AM
10:27 AM,2.00,10:27 AM,10:27,Apr 21 11:32:23 2022,,10:27 AM
11:32 AM,7.00,11:32 AM,11:32,Apr 21 12:00:56 2022,,11:32 AM
12:00 PM,5.00,12:00 PM,12:00,Apr 21 12:22:44 2022,,12:00 PM
12:22 PM,12.00,12:22 PM,12:22,Apr 21 12:38:26 2022,,12:22 PM
12:38 PM,-2.00,12:38 PM,12:38,Apr 21 13:15:10 2022,,12:38 PM
1:15 PM,5.00,1:15 PM,13:15,Apr 21 13:58:02 2022,,1:15 PM
1:58 PM,3.00,1:58 PM,13:58,Apr 21 14:17:02 2022,,1:58 PM
2:17 PM,7.00,2:17 PM,14:17,Apr 19 14:51:59 2022,,2:17 PM
2:51 PM,-4.00,2:51 PM,14:51,Apr 19 15:10:35 2022,,2:51 PM
3:10 PM,0.00,3:10 PM,15:10,Apr 19 15:48:02 2022,,3:10 PM
3:48 PM,8.00,3:48 PM,15:48,Apr 19 16:07:08 2022,,3:48 PM
4:07 PM,-3.00,4:07 PM,16:07,Apr 19 16:26:23 2022,,4:07 PM
4:26 PM,1.00,4:26 PM,16:26,Apr 19 16:44:53 2022,,4:26 PM
4:44 PM,4.00,4:44 PM,16:44,Apr 19 17:57:19 2022,,4:44 PM
5:57 PM,2.00,5:57 PM,17:57,Apr 19 18:15:16 2022,,5:57 PM
6:15 PM,5.00,6:15 PM,18:15,Apr 19 18:32:31 2022,,6:15 PM
6:32 PM,7.00,6:32 PM,18:32,Apr 19 18:51:43 2022,,6:32 PM
6:51 PM,-4.00,6:51 PM,18:51,Apr 20 15:43:01 2022,,6:51 PM
3:43 PM,3.00,3:43 PM,15:43,Apr 21 07:57:10 2022,,3:43 PM
7:57 AM,2.00,7:57 AM,7:57,Apr 21 08:14:49 2022,,7:57 AM
8:14 AM,4.00,8:14 AM,8:14,Apr 21 08:33:19 2022,,8:14 AM
8:33 AM,8.00,8:33 AM,8:33,Apr 21 09:35:51 2022,,8:33 AM
9:35 AM,-5.00,9:35 AM,9:35,Apr 21 09:57:21 2022,,9:35 AM
9:57 AM,2.00,9:57 AM,9:57,Apr 21 10:14:24 2022,,9:57 AM
10:14 AM,4.00,10:14 AM,10:14,Apr 21 13:01:35 2022,,10:14 AM
1:01 PM,6.00,1:01 PM,13:01,Apr 21 13:21:17 2022,,1:01 PM
1:21 PM,-4.00,1:21 PM,13:21,Apr 21 13:40:38 2022,,1:21 PM
1:40 PM,0.00,1:40 PM,13:40,Apr 21 14:27:14 2022,,1:40 PM
2:27 PM,2.00,2:27 PM,14:27,Apr 21 14:45:41 2022,,2:27 PM
2:45 PM,5.00,2:45 PM,14:45,Apr 19 13:04:12 2022,,2:45 PM
1:04 PM,9.00,1:04 PM,13:04,Apr 19 13:24:48 2022,,1:04 PM
1:24 PM,-1.00,1:24 PM,13:24,Apr 19 13:57:24 2022,,1:24 PM
1:57 PM,2.00,1:57 PM,13:57,Apr 19 15:23:16 2022,,1:57 PM
3:23 PM,-2.00,3:23 PM,15:23,Apr 19 15:40:53 2022,,3:23 PM
3:40 PM,0.00,3:40 PM,15:40,Apr 19 15:59:25 2022,,3:40 PM
3:59 PM,4.00,3:59 PM,15:59,Apr 19 16:41:15 2022,,3:59 PM
4:41 PM,1.00,4:41 PM,16:41,Apr 19 17:07:24 2022,,4:41 PM
5:07 PM,-3.00,5:07 PM,17:07,Apr 19 19:00:37 2022,,5:07 PM
7:00 PM,5.00,7:00 PM,19:00,Apr 20 07:32:09 2022,,7:00 PM
7:32 AM,7.00,7:32 AM,7:32,Apr 20 07:59:54 2022,,7:32 AM
7:59 AM,4.00,7:59 AM,7:59,Apr 20 09:14:18 2022,,7:59 AM
9:14 AM,4.00,9:14 AM,9:14,Apr 20 12:16:24 2022,,9:14 AM
12:16 PM,6.00,12:16 PM,12:16,Apr 20 13:01:58 2022,,12:16 PM
1:01 PM,6.00,1:01 PM,13:01,Apr 20 13:27:13 2022,,1:01 PM
1:27 PM,2.00,1:27 PM,13:27,Apr 20 13:46:34 2022,,1:27 PM
1:46 PM,6.00,1:46 PM,13:46,Apr 20 14:06:40 2022,,1:46 PM
2:06 PM,-4.00,2:06 PM,14:06,Apr 20 14:26:49 2022,,2:06 PM
2:26 PM,1.00,2:26 PM,14:26,Apr 20 16:45:24 2022,,2:26 PM
4:45 PM,5.00,4:45 PM,16:45,Apr 20 17:08:36 2022,,4:45 PM
5:08 PM,-2.00,5:08 PM,17:08,Apr 21 14:02:42 2022,,5:08 PM
2:02 PM,7.00,2:02 PM,14:02,Apr 19 11:01:20 2022,,2:02 PM
11:01 AM,6.00,11:01 AM,11:01,Apr 19 11:23:53 2022,,11:01 AM
11:23 AM,-2.00,11:23 AM,11:23,Apr 19 11:46:05 2022,,11:23 AM
11:46 AM,6.00,11:46 AM,11:46,Apr 19 12:48:33 2022,,11:46 AM
12:48 PM,8.00,12:48 PM,12:48,Apr 19 13:09:21 2022,,12:48 PM
1:09 PM,-1.00,1:09 PM,13:09,Apr 19 13:34:33 2022,,1:09 PM
1:34 PM,9.00,1:34 PM,13:34,Apr 20 07:26:35 2022,,1:34 PM
7:26 AM,1.00,7:26 AM,7:26,Apr 20 07:46:32 2022,,7:26 AM
7:46 AM,6.00,7:46 AM,7:46,Apr 20 08:42:17 2022,,7:46 AM
8:42 AM,2.00,8:42 AM,8:42,Apr 20 09:01:41 2022,,8:42 AM
9:01 AM,6.00,9:01 AM,9:01,Apr 20 09:07:29 2022,,9:01 AM
9:07 AM,-3.00,9:07 AM,9:07,Apr 20 10:36:53 2022,,9:07 AM
10:36 AM,11.00,10:36 AM,10:36,Apr 20 10:58:59 2022,,10:36 AM
10:58 AM,3.00,10:58 AM,10:58,Apr 20 11:19:02 2022,,10:58 AM
11:19 AM,9.00,11:19 AM,11:19,Apr 20 11:25:14 2022,,11:19 AM
11:25 AM,0.00,11:25 AM,11:25,Apr 20 11:45:24 2022,,11:25 AM
11:45 AM,5.00,11:45 AM,11:45,Apr 20 12:37:00 2022,,11:45 AM
12:37 PM,-3.00,12:37 PM,12:37,Apr 20 12:56:48 2022,,12:37 PM
12:56 PM,1.00,12:56 PM,12:56,Apr 20 13:18:06 2022,,12:56 PM
1:18 PM,8.00,1:18 PM,13:18,Apr 20 13:57:16 2022,,1:18 PM
1:57 PM,2.00,1:57 PM,13:57,Apr 21 07:31:39 2022,,1:57 PM
7:31 AM,6.00,7:31 AM,7:31,Apr 21 07:52:18 2022,,7:31 AM
7:52 AM,-3.00,7:52 AM,7:52,Apr 21 08:23:40 2022,,7:52 AM
8:23 AM,-2.00,8:23 AM,8:23,Apr 21 09:02:06 2022,,8:23 AM
9:02 AM,7.00,9:02 AM,9:02,Apr 21 09:22:09 2022,,9:02 AM
9:22 AM,-3.00,9:22 AM,9:22,Apr 21 09:41:51 2022,,9:22 AM
9:41 AM,1.00,9:41 AM,9:41,Apr 21 10:26:33 2022,,9:41 AM
10:26 AM,1.00,10:26 AM,10:26,Apr 21 11:31:10 2022,,10:26 AM
11:31 AM,6.00,11:31 AM,11:31,Apr 21 11:56:45 2022,,11:31 AM
11:56 AM,1.00,11:56 AM,11:56,Apr 21 12:17:21 2022,,11:56 AM
12:17 PM,7.00,12:17 PM,12:17,Apr 21 12:37:00 2022,,12:17 PM
12:37 PM,-3.00,12:37 PM,12:37,Apr 21 14:16:23 2022,,12:37 PM
2:16 PM,6.00,2:16 PM,14:16,Apr 20 17:08:40 2022,,2:16 PM
5:08 PM,13.00,5:08 PM,17:08,Apr 20 17:15:58 2022,,5:08 PM
5:15 PM,5.00,5:15 PM,17:15,Apr 20 17:39:19 2022,,5:15 PM
5:39 PM,-1.00,5:39 PM,17:39,Apr 20 18:06:58 2022,,5:39 PM
6:06 PM,11.00,6:06 PM,18:06,Apr 20 18:55:09 2022,,6:06 PM
6:55 PM,0.00,6:55 PM,18:55,Apr 19 07:31:33 2022,,6:55 PM
7:31 AM,6.00,7:31 AM,7:31,Apr 19 07:57:39 2022,,7:31 AM
7:57 AM,2.00,7:57 AM,7:57,Apr 19 10:12:15 2022,,7:57 AM
10:12 AM,2.00,10:12 AM,10:12,Apr 19 11:33:45 2022,,10:12 AM
11:33 AM,8.00,11:33 AM,11:33,Apr 19 11:53:36 2022,,11:33 AM
11:53 AM,-2.00,11:53 AM,11:53,Apr 19 12:13:06 2022,,11:53 AM
12:13 PM,3.00,12:13 PM,12:13,Apr 19 13:17:50 2022,,12:13 PM
1:17 PM,7.00,1:17 PM,13:17,Apr 19 13:42:05 2022,,1:17 PM
1:42 PM,2.00,1:42 PM,13:42,Apr 20 07:29:39 2022,,1:42 PM
7:29 AM,4.00,7:29 AM,7:29,Apr 20 07:47:03 2022,,7:29 AM
7:47 AM,7.00,7:47 AM,7:47,Apr 20 08:32:59 2022,,7:47 AM
8:32 AM,7.00,8:32 AM,8:32,Apr 20 08:52:59 2022,,8:32 AM
8:52 AM,-3.00,8:52 AM,8:52,Apr 20 09:13:08 2022,,8:52 AM
9:13 AM,3.00,9:13 AM,9:13,Apr 20 10:47:37 2022,,9:13 AM
10:47 AM,7.00,10:47 AM,10:47,Apr 20 11:07:40 2022,,10:47 AM
11:07 AM,-3.00,11:07 AM,11:07,Apr 20 11:33:04 2022,,11:07 AM
11:33 AM,8.00,11:33 AM,11:33,Apr 20 12:36:35 2022,,11:33 AM
12:36 PM,-4.00,12:36 PM,12:36,Apr 20 12:58:42 2022,,12:36 PM
12:58 PM,3.00,12:58 PM,12:58,Apr 20 13:18:03 2022,,12:58 PM
1:18 PM,8.00,1:18 PM,13:18,Apr 21 07:28:31 2022,,1:18 PM
7:28 AM,3.00,7:28 AM,7:28,Apr 21 07:47:43 2022,,7:28 AM
7:47 AM,7.00,7:47 AM,7:47,Apr 21 08:11:58 2022,,7:47 AM
8:11 AM,1.00,8:11 AM,8:11,Apr 21 08:56:17 2022,,8:11 AM
8:56 AM,1.00,8:56 AM,8:56,Apr 19 17:01:46 2022,,8:56 AM
5:01 PM,6.00,5:01 PM,17:01,Apr 19 17:25:58 2022,,5:01 PM
5:25 PM,0.00,5:25 PM,17:25,Apr 19 18:17:23 2022,,5:25 PM
6:17 PM,7.00,6:17 PM,18:17,Apr 19 18:36:35 2022,,6:17 PM
6:36 PM,-4.00,6:36 PM,18:36,Apr 20 14:57:08 2022,,6:36 PM
2:57 PM,2.00,2:57 PM,14:57,Apr 20 15:16:53 2022,,2:57 PM
3:16 PM,6.00,3:16 PM,15:16,Apr 20 15:36:56 2022,,3:16 PM
3:36 PM,-4.00,3:36 PM,15:36,Apr 20 16:27:11 2022,,3:36 PM
4:27 PM,2.00,4:27 PM,16:27,Apr 20 16:47:37 2022,,4:27 PM
4:47 PM,7.00,4:47 PM,16:47,Apr 20 17:06:56 2022,,4:47 PM
5:06 PM,-4.00,5:06 PM,17:06,Apr 20 19:02:08 2022,,5:06 PM
7:02 PM,7.00,7:02 PM,19:02,Apr 21 14:45:23 2022,,7:02 PM
2:45 PM,5.00,2:45 PM,14:45,Apr 21 15:05:14 2022,,2:45 PM
3:05 PM,-5.00,3:05 PM,15:05,Apr 21 15:52:44 2022,,3:05 PM
3:52 PM,-3.00,3:52 PM,15:52,Apr 21 16:11:59 2022,,3:52 PM
4:11 PM,1.00,4:11 PM,16:11,Apr 21 16:32:38 2022,,4:11 PM
4:32 PM,7.00,4:32 PM,16:32,Apr 21 16:51:53 2022,,4:32 PM
4:51 PM,-4.00,4:51 PM,16:51,Apr 21 18:31:41 2022,,4:51 PM
6:31 PM,6.00,6:31 PM,18:31,Apr 21 18:52:01 2022,,6:31 PM
6:52 PM,-3.00,6:52 PM,18:52,Apr 19 07:32:47 2022,,6:52 PM
7:32 AM,7.00,7:32 AM,7:32,Apr 19 07:51:50 2022,,7:32 AM
7:51 AM,-4.00,7:51 AM,7:51,Apr 19 08:21:17 2022,,7:51 AM
8:21 AM,-4.00,8:21 AM,8:21,Apr 19 09:02:08 2022,,8:21 AM
9:02 AM,7.00,9:02 AM,9:02,Apr 19 09:22:02 2022,,9:02 AM
9:22 AM,-3.00,9:22 AM,9:22,Apr 19 09:42:26 2022,,9:22 AM
9:42 AM,2.00,9:42 AM,9:42,Apr 19 10:08:35 2022,,9:42 AM
10:08 AM,-2.00,10:08 AM,10:08,Apr 19 11:31:20 2022,,10:08 AM
11:31 AM,6.00,11:31 AM,11:31,Apr 19 11:56:22 2022,,11:31 AM
11:56 AM,1.00,11:56 AM,11:56,Apr 19 12:25:55 2022,,11:56 AM
12:25 PM,0.00,12:25 PM,12:25,Apr 19 12:36:16 2022,,12:25 PM
12:36 PM,11.00,12:36 PM,12:36,Apr 19 13:09:51 2022,,12:36 PM
1:09 PM,-1.00,1:09 PM,13:09,Apr 20 16:01:19 2022,,1:09 PM
4:01 PM,6.00,4:01 PM,16:01,Apr 20 16:41:48 2022,,4:01 PM
4:41 PM,1.00,4:41 PM,16:41,Apr 20 18:19:07 2022,,4:41 PM
6:19 PM,9.00,6:19 PM,18:19,Apr 21 07:36:57 2022,,6:19 PM
7:36 AM,11.00,7:36 AM,7:36,Apr 21 07:56:54 2022,,7:36 AM
7:56 AM,1.00,7:56 AM,7:56,Apr 21 11:28:14 2022,,7:56 AM
11:28 AM,3.00,11:28 AM,11:28,Apr 21 11:52:38 2022,,11:28 AM
11:52 AM,-3.00,11:52 AM,11:52,Apr 21 12:12:23 2022,,11:52 AM
12:12 PM,2.00,12:12 PM,12:12,Apr 21 13:17:02 2022,,12:12 PM
1:17 PM,7.00,1:17 PM,13:17,Apr 21 13:41:56 2022,,1:17 PM
1:41 PM,1.00,1:41 PM,13:41,Apr 19 13:41:44 2022,,1:41 PM
1:41 PM,1.00,1:41 PM,13:41,Apr 19 15:06:01 2022,,1:41 PM
3:06 PM,-4.00,3:06 PM,15:06,Apr 19 15:31:52 2022,,3:06 PM
3:31 PM,6.00,3:31 PM,15:31,Apr 19 07:38:19 2022,,3:31 PM
7:38 AM,13.00,7:38 AM,7:38,Apr 19 07:56:58 2022,,7:38 AM
7:56 AM,1.00,7:56 AM,7:56,Apr 19 08:18:52 2022,,7:56 AM
8:18 AM,8.00,8:18 AM,8:18,Apr 19 08:37:13 2022,,8:18 AM
8:37 AM,-3.00,8:37 AM,8:37,Apr 19 09:17:55 2022,,8:37 AM
9:17 AM,7.00,9:17 AM,9:17,Apr 19 09:37:16 2022,,9:17 AM
9:37 AM,-3.00,9:37 AM,9:37,Apr 19 09:58:07 2022,,9:37 AM
9:58 AM,3.00,9:58 AM,9:58,Apr 19 10:17:16 2022,,9:58 AM
10:17 AM,7.00,10:17 AM,10:17,Apr 19 11:40:46 2022,,10:17 AM
11:40 AM,0.00,11:40 AM,11:40,Apr 19 13:12:39 2022,,11:40 AM
1:12 PM,2.00,1:12 PM,13:12,Apr 19 13:32:57 2022,,1:12 PM
1:32 PM,7.00,1:32 PM,13:32,Apr 19 14:46:35 2022,,1:32 PM
2:46 PM,6.00,2:46 PM,14:46,Apr 20 11:44:24 2022,,2:46 PM
11:44 AM,4.00,11:44 AM,11:44,Apr 20 12:08:42 2022,,11:44 AM
12:08 PM,-2.00,12:08 PM,12:08,Apr 20 12:49:05 2022,,12:08 PM
12:49 PM,9.00,12:49 PM,12:49,Apr 20 13:09:23 2022,,12:49 PM
1:09 PM,-1.00,1:09 PM,13:09,Apr 20 13:33:41 2022,,1:09 PM
1:33 PM,8.00,1:33 PM,13:33,Apr 20 14:17:14 2022,,1:33 PM
2:17 PM,7.00,2:17 PM,14:17,Apr 20 14:33:44 2022,,2:17 PM
2:33 PM,8.00,2:33 PM,14:33,,,2:33 PM